"Customer #","Arrivals time (hour)","Time starting ordering food with Server 1 (hour)","Time finishing ordering food with Server 1 (hour)","Time leaving the system (hour)"
1,0.221929,0.221929,0.227508,0.301777
2,0.391894,0.391894,0.395827,0.464801
3,0.503112,0.503112,0.515241,0.594277
4,0.530255,0.530255,0.547407,0.652727
5,0.696952,0.696952,0.734276,0.779785
6,0.735404,0.735404,0.75793,0.83149
7,0.846183,0.846183,0.852041,0.872964
8,0.887218,0.887218,0.888901,0.949314
9,0.911444,0.911444,0.913216,0.963701
10,0.926877,0.926877,0.938197,1.06357
11,0.927351,0.938197,0.97816,1.154293
12,1.027569,1.027569,1.057098,1.188804
13,1.049317,1.057098,1.081869,1.209521
14,1.380099,1.380099,1.408143,1.4893
15,1.470911,1.470911,1.535119,1.646009
16,1.471202,1.535119,1.552717,1.729476
17,1.590128,1.590128,1.605848,1.807696
18,2.26084,2.26084,2.310766,2.371451
19,2.282467,2.310766,2.359671,2.389387
20,2.283699,2.359671,2.371332,2.434779
21,2.316161,2.371332,2.375719,2.488039
22,2.485545,2.485545,2.495308,2.546579
23,2.807719,2.807719,2.8118,2.867578
24,2.942245,2.942245,2.94819,3.036913
25,2.966856,2.966856,3.031845,3.090292
26,2.96895,3.031845,3.074514,3.150769
27,3.013622,3.074514,3.087885,3.183495
28,3.263895,3.263895,3.290988,3.353603
29,3.393851,3.393851,3.403137,3.442941
30,3.438638,3.438638,3.468975,3.526318
31,3.578188,3.578188,3.595271,3.650875
32,3.59786,3.59786,3.626246,3.698859
33,3.649034,3.649034,3.68504,3.789166
34,3.770304,3.770304,3.771075,3.811371
35,3.840606,3.840606,3.8465,3.958639
36,3.917097,3.917097,3.930658,4.032798
