"Customer #","Arrivals time (hour)","Time starting ordering food with Server 1 (hour)","Time finishing ordering food with Service 1 (hour)","Time leaving the system (hour)"
1,0.243266,0.243266,0.287519,0.368206
2,0.292889,0.292889,0.388053,0.445232
3,0.343184,0.388053,0.408979,0.65019
4,0.623656,0.623656,0.6634,0.708707
5,0.675407,0.675407,0.682471,0.834412
6,0.706132,0.706132,0.716643,0.932834
7,0.715137,0.716643,0.736135,1.011874
8,0.721911,0.736135,0.853505,1.022383
9,0.743865,0.853505,0.900009,1.05985
10,0.759019,0.900009,0.924376,1.132126
