Arrival Time,Departure Time,Server #,Interarrival Times,Service Times,Waiting Times
0.018365378,0.102617513,1,,0.084252135,0
0.152184873,0.265188026,2,0.133819495,0.113003153,
0.279664096,0.328632351,1,0.127479223,0.048968255,0
0.664002993,0.733176011,2,0.384338897,0.069173018,0
0.783986104,0.786778917,1,0.119983111,0.002792813,0
0.795521971,0.843234776,2,0.011535867,0.047712805,0
0.963760233,0.980555773,1,0.168238263,0.01679554,0
0.994864761,1.234376148,2,0.031104528,0.239511386,0
1.023108055,1.135535053,1,0.028243294,0.112426998,0
1.414775844,1.482292701,1,0.391667789,0.067516857,0
1.471022871,1.475942522,2,0.056247027,0.004919651,0
1.505820147,1.519201164,2,0.034797277,0.013381017,0
1.613136317,1.769740728,1,0.107316169,0.156604411,0
1.693211679,1.747551524,2,0.080075362,0.054339845,0
1.766909673,1.810852663,2,0.073697994,0.04394299,0.002831055
1.772237835,1.839576535,1,0.005328162,0.0673387,0
1.790689447,1.814542494,2,0.018451613,0.003689831,0.020163216
1.914004434,2.228793798,2,0.123314987,0.314789364,0
2.109758713,2.234782941,1,0.195754279,0.125024228,0
2.294192765,2.388816481,2,0.184434052,0.094623716,0
2.586727364,2.659741565,1,0.292534599,0.073014201,0
2.610293854,2.840820823,2,0.023566491,0.230526968,0
2.619700415,2.824188526,1,0.009406561,0.164446961,0.04004115
2.702305618,2.826116733,1,0.082605203,0.001928207,0.121882908
3.038456769,3.091433698,1,0.336151152,0.052976929,0
3.116559528,3.191566991,2,0.078102758,0.075007464,0
3.198422064,3.323299501,1,0.081862536,0.124877437,0
3.384490231,3.420780703,2,0.186068167,0.036290472,0
3.835276836,3.986300826,1,0.450786605,0.15102399,0
3.878738921,3.904488239,2,0.043462084,0.025749319,0
